"size","time","it","mean","variance","median"
100,0.0323045253753662,1,4.62,232.258181818182,1
1000,0.048487663269043,1,7.154,2520.67896296296,1
10000,0.0626449584960938,1,7.2546,5267.2717060106,1
1e+05,0.347050666809082,1,11.21306,101160.93539479,1
1e+06,5.71329164505005,1,26.130561,155189736.173462,1
1e+07,29.6738057136536,1,15.7125442,17910795.4622628,1
100,0.0366513729095459,2,33.01,85790.5756565657,1.5
1000,0.0453789234161377,2,13.586,63482.2268308308,1
10000,0.329228401184082,2,53.6226,19758922.1827875,1
1e+05,0.358416318893433,2,10.96228,69352.7798249998,1
1e+06,3.61956596374512,2,14.182067,1070747.66833828,1
1e+07,58.959810256958,2,31.7165017999998,2172433596.94947,2
100,0.0356698036193848,3,5.68,713.694545454546,2
1000,0.0463283061981201,3,8.084,1319.96490890891,2
10000,0.0932528972625732,3,12.0882,39084.0250232623,1
1e+05,1.03058791160583,3,37.46968,55860204.4028848,2
1e+06,3.02673006057739,3,13.483934,749798.789398678,2
1e+07,30.6031534671783,3,16.2141705999999,20896579.1542081,2
100,0.0344247817993164,4,6.33,822.243535353535,1
1000,0.0792324542999268,4,78.465,4601247.24602102,2
10000,0.06793212890625,4,7.8781,4158.80432082208,2
1e+05,0.583402872085571,4,13.13584,354805.744744942,2
1e+06,3.97271251678467,4,18.728045,13511822.395216,1
1e+07,33.119131565094,4,18.1327353000001,51812200.8502998,1
100,0.0354733467102051,5,3.45,27.8257575757576,2
1000,0.0427126884460449,5,8.94,11792.9313313313,1
10000,0.339542865753174,5,37.7269,5011479.12142853,2
1e+05,0.812458276748657,5,25.74301,20041840.6082922,1
1e+06,3.81281757354736,5,16.927051,3421057.65401908,2
1e+07,36.6730749607086,5,17.086094,27027620.6311003,2
100,0.0390191078186035,6,4.22,44.4359595959596,2
1000,0.0492763519287109,6,9.078,5073.30522122122,2
10000,0.092479944229126,6,16.2518,533442.235820342,2
1e+05,0.358693361282349,6,11.46028,166366.072543047,2
1e+06,3.95542073249817,6,15.521083,6362135.8961274,2
1e+07,31.6318192481995,6,16.7641866999999,31066991.2437584,1
100,0.0391790866851807,7,25.71,48639.5009090909,2
1000,0.0472109317779541,7,7.682,2097.55843443443,2
10000,0.0728023052215576,7,8.5522,13359.2610012601,1
1e+05,0.390918016433716,7,12.21469,110931.019888403,1
1e+06,8.3513126373291,7,40.869489,733178785.820499,1
1e+07,33.1668374538422,7,17.6457240999999,70902956.500139,1
100,0.0371909141540527,8,5.16,313.125656565657,1.5
1000,0.0476686954498291,8,6.639,1400.20888788789,2
10000,0.100721597671509,8,11.7832,49376.2070184618,2
1e+05,0.431018114089966,8,10.31902,46218.7048132877,2
1e+06,4.89406108856201,8,19.574819,41833864.951961,2
1e+07,28.9313614368439,8,15.90531,12743754.5536364,1
100,0.0392427444458008,9,10.35,3662.31060606061,1.5
1000,0.045893669128418,9,5.51,498.093993993994,1
10000,0.104403495788574,9,16.3767,510306.772474357,1
1e+05,0.580972671508789,9,17.03709,4001281.84755281,1
1e+06,6.1129252910614,9,29.8056080000001,320620292.730465,2
1e+07,34.3125677108765,9,17.8862470999999,48955844.6800609,2
100,0.0372786521911621,10,3.51,34.6564646464646,1
1000,0.0539121627807617,10,6.492,4179.3612972973,1
10000,0.0915555953979492,10,9.2213,20465.3582621362,2
1e+05,0.317822456359863,10,10.40591,72152.0568276402,2
1e+06,5.32556533813477,10,24.787308,66151735.8007237,2
1e+07,27.7166223526001,10,15.0026821,9194124.11214941,1
100,0.0380568504333496,11,4.28,199.496565656566,1.5
1000,0.0795650482177734,11,51.453,1967727.36715816,1
10000,0.104954481124878,11,16.3254,181231.122827123,2
1e+05,0.364805221557617,11,11.44339,156122.606801376,2
1e+06,3.14995861053467,11,14.789937,3089550.50362106,2
1e+07,33.6494076251984,11,19.5912046999999,30491793.0498437,1
100,0.03767991065979,12,5.11,159.856464646465,2
1000,0.0444881916046143,12,5.642,454.752588588589,2
10000,0.107756614685059,12,17.3694,605190.669610601,2
1e+05,0.873553276062012,12,29.42213,25407540.2004582,1
1e+06,3.73978495597839,12,15.099332,3235537.07760217,1
1e+07,28.7407975196838,12,15.3567338,11674424.2619619,2
100,0.0398886203765869,1,15.66,8262.5296969697,1
1000,0.0610828399658203,1,8.154,5380.44072472472,2
10000,0.100794076919556,1,13.0785,156710.66160391,2
1e+05,1.14804720878601,1,19.87137,3290223.33335766,2
1e+06,6.39032244682312,1,18.325623,9561908.04840282,1
1e+07,36.3002769947052,1,18.8347043999998,56599672.8602098,1
100,0.0451192855834961,2,9.34,1246.10545454545,2
1000,0.0566558837890625,2,10.921,12585.7985575576,1
10000,2.70100736618042,2,122.7692,127757359.672899,2
1e+05,0.585725784301758,2,10.77283,61398.1419252103,2
1e+06,6.21614456176758,2,16.449663,6495831.87826605,2
1e+07,37.8792259693146,2,17.6406633000001,35340666.5659142,2
100,0.0393402576446533,3,3.43,25.0354545454545,1
1000,0.0553324222564697,3,6.155,1025.60658158158,2
10000,0.0810368061065674,3,8.9023,12789.3932940394,2
1e+05,0.58959436416626,3,18.14353,5985891.91824832,2
